EPIC,magnitude,module,submodule,gini,spike,PSD_m_above_noise,PSD_m_below_noise
220678967.0,16.271,10.0,0.0,0.7792364402600805,3.076601336028643,-0.826169303598287,-1.7584899210289628
220679401.0,14.8,10.0,0.0,0.8450975712499669,2.124486637654121,-1.672852442505342,-0.3057771129675781
220680008.0,15.825,10.0,0.0,0.8232689856951447,2.697735782365985,-0.839836110784203,-0.5669117943762123
220680187.0,17.255,10.0,0.0,0.6182773088933672,1.3086881926823242,-1.4128674427937498,-0.28409340651963966
220680661.0,15.785,10.0,0.0,0.769804629158855,0.9763112550117516,-1.2614625338476928,-0.40749412076185626
220680769.0,13.956,10.0,0.0,0.8827146919508728,1.9578868953827042,-1.4440649227380205,-0.7046400034742387
220680832.0,15.954,10.0,0.0,0.8505445654977315,3.700943790049539,-0.4003217982583726,-1.6387609595778925
220680897.0,14.057,10.0,0.0,0.9006051606096148,1.7642720260978058,-1.5985794476415272,-0.7202729047733177
220680975.0,13.607,10.0,0.0,0.8748716814579002,3.121623502061856,-0.5948010894207194,-1.56003888155455
220681334.0,11.851,10.0,0.0,0.9269225877814088,3.5808935999175624,-0.7552890341347265,-1.4962187006865448
220681486.0,15.12,10.0,0.0,0.8088984026829736,1.3241012064664524,-1.199743893578051,-0.25549165396656565
220681635.0,12.936,10.0,0.0,0.9130745941368666,3.509626620353311,-0.31517092953831755,-1.169571360446799
220682166.0,11.723,10.0,0.0,0.928775803820834,3.1293235896593252,-1.5710475705252842,-1.7701580097857958
220682217.0,16.677,10.0,0.0,0.9163338449463767,3.7470181497354282,-0.33730125089743773,-1.6989822717584488
220682223.0,14.887,10.0,0.0,0.7721044299695712,2.0610359177352287,-1.4074577807255184,-0.41733948109945285
220682262.0,16.898,10.0,0.0,0.6548658170934958,1.3387058230070616,-1.3305179260132316,-0.27163471356180613
220682935.0,11.283,10.0,0.0,0.9397979485609206,2.969046519438323,-0.9261718362018491,-1.625665981271001
220683331.0,11.95,10.0,0.0,0.9264715388613216,2.9482846172168276,-0.8809393710318127,-1.8955725215400718
220683630.0,12.467,10.0,0.0,0.9239636750107164,2.46445424901289,-1.1088700325401806,-1.3778714426493333
