EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW
220317256,18.6239185,3.0013471,17.792, GO8070_LC,39,c8_lcs/220317256.png,12,617,803
220317331,21.3657532,3.003149,16.297, GO8070_LC,13,c8_lcs/220317331.png,6,1043,202
220317335,13.9132519,3.0031879,16.343, GO8070_LC,63,c8_lcs/220317335.png,18,728,698
220317737,22.4337502,3.0111871,17.7, GO8070_LC,14,c8_lcs/220317737.png,6,380,754
220317808,11.9062681,3.0125821,17.257, GO8070_LC,77,c8_lcs/220317808.png,23,417,337
220318095,19.3934517,3.01946,14.828, GO8070_LC,39,c8_lcs/220318095.png,12,40,413
220319329,11.8144646,3.0459299,17.765, GO8070_LC,77,c8_lcs/220319329.png,23,345,387
220319844,21.3758774,3.058392,17.097, GO8070_LC,13,c8_lcs/220319844.png,6,1080,167
220320071,18.4791527,3.06302,17.072, GO8070_LC,39,c8_lcs/220320071.png,12,692,925
220320249,15.3114862,3.066901,16.773, GO8070_LC,62,c8_lcs/220320249.png,18,35,401
220320426,22.1048412,3.070529,16.183, GO8070_LC,14,c8_lcs/220320426.png,6,591,538
220320468,17.5841846,3.0715599,15.683, GO8070_LC,37,c8_lcs/220320468.png,12,871,754
220320561,17.5214977,3.0733559,16.882, GO8070_LC,37,c8_lcs/220320561.png,12,825,720
220320723,9.6405649,3.0774789,17.012, GO8070_LC,83,c8_lcs/220320723.png,24,475,196
220320886,21.8772068,3.0814381,17.989, GO8070_LC,14,c8_lcs/220320886.png,6,754,411
220320911,16.577755,3.0821481,17.953, GO8070_LC,37,c8_lcs/220320911.png,12,136,217
220320984,9.8557262,3.0836699,17.447, GO8070_LC,83,c8_lcs/220320984.png,24,366,356
220321285,11.6412029,3.0900309,16.301, GO8070_LC|GO8042_LC,77,c8_lcs/220321285.png,23,220,490
220321356,18.1382713,3.0914199,17.808, GO8070_LC,38,c8_lcs/220321356.png,12,927,1031
220321534,14.1717424,3.0956359,17.818, GO8070_LC,63,c8_lcs/220321534.png,18,660,937
220321638,14.2564735,3.0978739,16.173, GO8070_LC,63,c8_lcs/220321638.png,18,617,1000
220322288,13.20193,3.112,17.299, GO8070_LC,64,c8_lcs/220322288.png,18,1031,234
220322864,11.5539541,3.124486,16.299, GO8070_LC,77,c8_lcs/220322864.png,23,149,535
220323236,16.5262661,3.1328039,14.58, GO8070_LC,37,c8_lcs/220323236.png,12,125,152
220323304,16.5409641,3.134315,17.682, GO8070_LC,37,c8_lcs/220323304.png,12,136,159
220323529,16.4631119,3.139766,16.919, GO8070_LC,37,c8_lcs/220323529.png,12,82,114
220323648,14.1276922,3.1421709,17.721, GO8070_LC,63,c8_lcs/220323648.png,18,718,929
220323757,10.5098391,3.1444099,14.425, GO8070_LC,83,c8_lcs/220323757.png,24,61,866
220323941,10.5923367,3.148478,17.998, GO8070_LC,83,c8_lcs/220323941.png,24,21,929
220323943,15.4204292,3.1485159,16.941, GO8070_LC,62,c8_lcs/220323943.png,18,39,278
220323990,10.4432507,3.1497941,17.006, GO8070_LC,83,c8_lcs/220323990.png,24,101,821
220324250,16.9479599,3.1557591,17.099, GO8070_LC,37,c8_lcs/220324250.png,12,448,358
220324343,12.1497841,3.1579809,17.175, GO8070_LC,77,c8_lcs/220324343.png,23,440,82
220324415,11.7975121,3.1594319,17.567, GO8070_LC,77,c8_lcs/220324415.png,23,252,339
220324458,22.7164783,3.1603739,17.725, GO8070_LC,14,c8_lcs/220324458.png,6,93,791
220325196,13.9663992,3.1755011,16.87, GO8070_LC|GO8042_LC,63,c8_lcs/220325196.png,18,826,828
220325492,17.0567436,3.1813331,17.512, GO8070_LC,37,c8_lcs/220325492.png,12,540,396
220325578,12.9503756,3.1836071,17.163, GO8070_LC,64,c8_lcs/220325578.png,18,845,88
220325696,18.8387241,3.1860051,17.094, GO8070_LC,39,c8_lcs/220325696.png,12,362,827
220325768,14.9213018,3.1877911,16.528, GO8070_LC,62,c8_lcs/220325768.png,18,331,623
220325841,9.5747442,3.1894469,17.854, GO8070_LC,83,c8_lcs/220325841.png,24,593,208
220325974,10.4464426,3.1924751,16.61, GO8070_LC,83,c8_lcs/220325974.png,24,131,846
220326143,18.6402664,3.196259,17.12, GO8070_LC,39,c8_lcs/220326143.png,12,502,938
220326374,18.4702015,3.201771,16.18, GO8070_LC|GO8042_LC,39,c8_lcs/220326374.png,12,625,1031
220326714,13.0892086,3.209017,16.605, GO8070_LC,64,c8_lcs/220326714.png,18,900,203
220326880,13.1669569,3.2129669,17.3, GO8070_LC,64,c8_lcs/220326880.png,18,939,263
220326953,9.8950548,3.214664,17.96, GO8070_LC,83,c8_lcs/220326953.png,24,440,455
220327005,16.4235916,3.2157559,16.672, GO8070_LC|GO8042_LC,37,c8_lcs/220327005.png,12,94,37
220327037,14.4457722,3.2163711,16.199, GO8070_LC,62,c8_lcs/220327037.png,18,604,957
220327458,15.4098177,3.225076,16.365, GO8070_LC|GO8042_LC,62,c8_lcs/220327458.png,18,100,245
220327865,9.6638651,3.2339561,17.769, GO8070_LC,83,c8_lcs/220327865.png,24,578,297
220327985,10.6572475,3.2367749,17.283, GO8070_LC,83,c8_lcs/220327985.png,24,50,1023
220328079,12.1276283,3.2389989,17.656, GO8070_LC,77,c8_lcs/220328079.png,23,369,55
220328105,10.6548662,3.239614,16.552, GO8070_LC,83,c8_lcs/220328105.png,24,54,1023
220328206,21.5618591,3.2418101,16.641, GO8070_LC,14,c8_lcs/220328206.png,6,902,128
